2024-03-17 14:37:41,810 | Guka.pet.windowsApi | windowsApi.py[line:461] |  ERROR: Too early to create variable: no default root window |  json_file_paths
2024-03-21 14:46:48,760 | Guka.comunication.comunication | comunication.py[line:91] |  ERROR: [WinError 10053] 你的主机中的软件中止了一个已建立的连接。 |  run_str
2024-03-21 14:51:15,461 | Guka.comunication.comunication | comunication.py[line:91] |  ERROR: [WinError 10053] 你的主机中的软件中止了一个已建立的连接。 |  run_str
2024-03-21 14:54:04,855 | Guka.comunication.comunication | comunication.py[line:91] |  ERROR: [WinError 10053] 你的主机中的软件中止了一个已建立的连接。 |  run_str
2024-03-21 15:17:20,784 | Guka.comunication.comunication | comunication.py[line:91] |  ERROR: [WinError 10053] 你的主机中的软件中止了一个已建立的连接。 |  run_str
2024-03-21 15:21:23,215 | Guka.comunication.comunication | comunication.py[line:91] |  ERROR: unpack requires a buffer of 4 bytes |  run_str
2024-03-21 15:24:00,981 | Guka.comunication.comunication | comunication.py[line:91] |  ERROR: unpack requires a buffer of 4 bytes |  run_str
2024-03-21 15:35:33,921 | Guka.comunication.comunication | comunication.py[line:96] |  ERROR: unpack requires a buffer of 4 bytes |  run_str
2024-03-21 17:20:41,005 | Guka.pet.pet | pet.py[line:718] |  ERROR: unpack requires a buffer of 4 bytes |  soundAudio
2024-03-21 17:26:27,653 | Guka.pet.pet | pet.py[line:718] |  ERROR: unpack requires a buffer of 4 bytes |  soundAudio
2024-03-21 17:27:52,966 | Guka.pet.pet | pet.py[line:718] |  ERROR: unpack requires a buffer of 4 bytes |  soundAudio
2024-03-21 17:33:00,858 | Guka.pet.pet | pet.py[line:718] |  ERROR: unpack requires a buffer of 4 bytes |  soundAudio
2024-03-21 18:57:55,080 | Guka.pet.pet | pet.py[line:626] |  ERROR: setWindowIcon(self, icon: QIcon): argument 1 has unexpected type 'str' |  keyboard_input
2024-03-21 18:58:10,460 | Guka.pet.pet | pet.py[line:626] |  ERROR: setWindowIcon(self, icon: QIcon): argument 1 has unexpected type 'str' |  keyboard_input
2024-03-21 20:14:27,138 | Guka.pet.pet | pet.py[line:644] |  ERROR: 'MainWindow' object has no attribute 'setCentralWidget' |  keyboard_input
2024-03-21 20:27:06,044 | Guka.pet.pet | pet.py[line:644] |  ERROR: 'MainWindow' object has no attribute 'setQuitOnLastWindowClosed' |  keyboard_input
2024-03-21 20:49:57,225 | Guka.pet.pet | pet.py[line:727] |  ERROR: unpack requires a buffer of 4 bytes |  audioToaudio
