2024-04-19 19:39:54,007 | Guka.comunication.comunication | comunication.py[line:29] |  ERROR: [WinError 10061] 由于目标计算机积极拒绝，无法连接。 |  __init__
2024-04-19 19:40:17,280 | Guka.comunication.comunication | comunication.py[line:29] |  ERROR: [WinError 10061] 由于目标计算机积极拒绝，无法连接。 |  __init__
2024-04-19 19:40:53,798 | Guka.comunication.comunication | comunication.py[line:29] |  ERROR: [WinError 10061] 由于目标计算机积极拒绝，无法连接。 |  __init__
2024-04-19 20:22:38,551 | Guka.comunication.comunication | comunication.py[line:29] |  ERROR: [WinError 10061] 由于目标计算机积极拒绝，无法连接。 |  __init__
2024-04-19 20:25:05,851 | Guka.comunication.comunication | comunication.py[line:29] |  ERROR: [WinError 10061] 由于目标计算机积极拒绝，无法连接。 |  __init__
2024-04-19 20:25:20,379 | Guka.comunication.comunication | comunication.py[line:29] |  ERROR: [WinError 10061] 由于目标计算机积极拒绝，无法连接。 |  __init__
2024-04-19 20:26:02,313 | Guka.comunication.comunication | comunication.py[line:29] |  ERROR: [WinError 10061] 由于目标计算机积极拒绝，无法连接。 |  __init__
2024-04-19 20:26:10,857 | Guka.comunication.comunication | comunication.py[line:29] |  ERROR: [WinError 10061] 由于目标计算机积极拒绝，无法连接。 |  __init__
2024-04-20 15:05:26,806 | Guka.comunication.comunication | comunication.py[line:90] |  ERROR: [WinError 10054] 远程主机强迫关闭了一个现有的连接。 |  read_audio
2024-04-20 15:05:26,966 | Guka.comunication.comunication | comunication.py[line:90] |  ERROR: [WinError 10054] 远程主机强迫关闭了一个现有的连接。 |  read_audio
2024-04-20 15:05:27,116 | Guka.comunication.comunication | comunication.py[line:90] |  ERROR: [WinError 10054] 远程主机强迫关闭了一个现有的连接。 |  read_audio
2024-04-20 15:05:27,266 | Guka.comunication.comunication | comunication.py[line:90] |  ERROR: [WinError 10054] 远程主机强迫关闭了一个现有的连接。 |  read_audio
2024-04-20 15:05:27,416 | Guka.comunication.comunication | comunication.py[line:90] |  ERROR: [WinError 10054] 远程主机强迫关闭了一个现有的连接。 |  read_audio
2024-04-20 15:05:27,566 | Guka.comunication.comunication | comunication.py[line:90] |  ERROR: [WinError 10054] 远程主机强迫关闭了一个现有的连接。 |  read_audio
2024-04-20 15:05:27,716 | Guka.comunication.comunication | comunication.py[line:90] |  ERROR: [WinError 10054] 远程主机强迫关闭了一个现有的连接。 |  read_audio
2024-04-20 15:05:27,866 | Guka.comunication.comunication | comunication.py[line:90] |  ERROR: [WinError 10054] 远程主机强迫关闭了一个现有的连接。 |  read_audio
2024-04-20 15:05:28,016 | Guka.comunication.comunication | comunication.py[line:90] |  ERROR: [WinError 10054] 远程主机强迫关闭了一个现有的连接。 |  read_audio
2024-04-20 15:05:28,166 | Guka.comunication.comunication | comunication.py[line:90] |  ERROR: [WinError 10054] 远程主机强迫关闭了一个现有的连接。 |  read_audio
2024-04-20 15:05:28,260 | Guka.comunication.comunication | comunication.py[line:90] |  ERROR: [WinError 10054] 远程主机强迫关闭了一个现有的连接。 |  read_audio
